Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Poquoson City Public Schools",04,139
"2023 - 2024",DIV,"Poquoson City Public Schools",05,153
"2023 - 2024",DIV,"Poquoson City Public Schools",06,177
"2023 - 2024",DIV,"Poquoson City Public Schools",07,164
"2023 - 2024",DIV,"Poquoson City Public Schools",08,146
"2023 - 2024",DIV,"Poquoson City Public Schools",09,166
"2023 - 2024",DIV,"Poquoson City Public Schools",10,182
"2023 - 2024",DIV,"Poquoson City Public Schools",11,172
"2023 - 2024",DIV,"Poquoson City Public Schools",12,149
"2023 - 2024",DIV,"Portsmouth City Public Schools",,13162
"2023 - 2024",DIV,"Portsmouth City Public Schools",PK,535
"2023 - 2024",DIV,"Portsmouth City Public Schools",KG,1028
"2023 - 2024",DIV,"Portsmouth City Public Schools",01,1039
"2023 - 2024",DIV,"Portsmouth City Public Schools",02,1071
"2023 - 2024",DIV,"Portsmouth City Public Schools",03,986
"2023 - 2024",DIV,"Portsmouth City Public Schools",04,963
"2023 - 2024",DIV,"Portsmouth City Public Schools",05,1023
"2023 - 2024",DIV,"Portsmouth City Public Schools",06,943
"2023 - 2024",DIV,"Portsmouth City Public Schools",07,986
"2023 - 2024",DIV,"Portsmouth City Public Schools",08,942
"2023 - 2024",DIV,"Portsmouth City Public Schools",09,1137
"2023 - 2024",DIV,"Portsmouth City Public Schools",10,913
"2023 - 2024",DIV,"Portsmouth City Public Schools",11,803
"2023 - 2024",DIV,"Portsmouth City Public Schools",12,793
"2023 - 2024",DIV,"Powhatan County Public Schools",,4222
"2023 - 2024",DIV,"Powhatan County Public Schools",PK,119
"2023 - 2024",DIV,"Powhatan County Public Schools",KG,268
"2023 - 2024",DIV,"Powhatan County Public Schools",01,292
"2023 - 2024",DIV,"Powhatan County Public Schools",02,273
"2023 - 2024",DIV,"Powhatan County Public Schools",03,278
"2023 - 2024",DIV,"Powhatan County Public Schools",04,324
"2023 - 2024",DIV,"Powhatan County Public Schools",05,301
"2023 - 2024",DIV,"Powhatan County Public Schools",06,317
"2023 - 2024",DIV,"Powhatan County Public Schools",07,339
"2023 - 2024",DIV,"Powhatan County Public Schools",08,326
"2023 - 2024",DIV,"Powhatan County Public Schools",09,372
"2023 - 2024",DIV,"Powhatan County Public Schools",10,328
"2023 - 2024",DIV,"Powhatan County Public Schools",11,322
"2023 - 2024",DIV,"Powhatan County Public Schools",12,363
"2023 - 2024",DIV,"Prince Edward County Public Schools",,1816
"2023 - 2024",DIV,"Prince Edward County Public Schools",PK,97
"2023 - 2024",DIV,"Prince Edward County Public Schools",KG,112
"2023 - 2024",DIV,"Prince Edward County Public Schools",01,132
"2023 - 2024",DIV,"Prince Edward County Public Schools",02,137
"2023 - 2024",DIV,"Prince Edward County Public Schools",03,148
"2023 - 2024",DIV,"Prince Edward County Public Schools",04,152
"2023 - 2024",DIV,"Prince Edward County Public Schools",05,118
"2023 - 2024",DIV,"Prince Edward County Public Schools",06,137
"2023 - 2024",DIV,"Prince Edward County Public Schools",07,127
"2023 - 2024",DIV,"Prince Edward County Public Schools",08,131
"2023 - 2024",DIV,"Prince Edward County Public Schools",09,178
"2023 - 2024",DIV,"Prince Edward County Public Schools",10,154
"2023 - 2024",DIV,"Prince Edward County Public Schools",11,88
"2023 - 2024",DIV,"Prince Edward County Public Schools",12,105
"2023 - 2024",DIV,"Prince George County Public Schools",,6181
"2023 - 2024",DIV,"Prince George County Public Schools",PK,166
"2023 - 2024",DIV,"Prince George County Public Schools",KG,475
"2023 - 2024",DIV,"Prince George County Public Schools",01,449
"2023 - 2024",DIV,"Prince George County Public Schools",02,468
"2023 - 2024",DIV,"Prince George County Public Schools",03,464
"2023 - 2024",DIV,"Prince George County Public Schools",04,465
"2023 - 2024",DIV,"Prince George County Public Schools",05,481
"2023 - 2024",DIV,"Prince George County Public Schools",06,481
"2023 - 2024",DIV,"Prince George County Public Schools",07,456
"2023 - 2024",DIV,"Prince George County Public Schools",08,458
"2023 - 2024",DIV,"Prince George County Public Schools",09,493
"2023 - 2024",DIV,"Prince George County Public Schools",10,467
"2023 - 2024",DIV,"Prince George County Public Schools",11,452
"2023 - 2024",DIV,"Prince George County Public Schools",12,406
"2023 - 2024",DIV,"Prince William County Public Schools",,90654
"2023 - 2024",DIV,"Prince William County Public Schools",PK,1819
"2023 - 2024",DIV,"Prince William County Public Schools",KG,5731
"2023 - 2024",DIV,"Prince William County Public Schools",01,6422
"2023 - 2024",DIV,"Prince William County Public Schools",02,6703
"2023 - 2024",DIV,"Prince William County Public Schools",03,6588
"2023 - 2024",DIV,"Prince William County Public Schools",04,6727
"2023 - 2024",DIV,"Prince William County Public Schools",05,6901
"2023 - 2024",DIV,"Prince William County Public Schools",06,6802
"2023 - 2024",DIV,"Prince William County Public Schools",07,6647
"2023 - 2024",DIV,"Prince William County Public Schools",08,6797
"2023 - 2024",DIV,"Prince William County Public Schools",09,7863
"2023 - 2024",DIV,"Prince William County Public Schools",10,7609
"2023 - 2024",DIV,"Prince William County Public Schools",11,7061
"2023 - 2024",DIV,"Prince William County Public Schools",12,6984
"2023 - 2024",DIV,"Pulaski County Public Schools",,4361
"2023 - 2024",DIV,"Pulaski County Public Schools",PK,144
"2023 - 2024",DIV,"Pulaski County Public Schools",KG,473
"2023 - 2024",DIV,"Pulaski County Public Schools",01,337
"2023 - 2024",DIV,"Pulaski County Public Schools",02,330
"2023 - 2024",DIV,"Pulaski County Public Schools",03,280
"2023 - 2024",DIV,"Pulaski County Public Schools",04,296
"2023 - 2024",DIV,"Pulaski County Public Schools",05,366
"2023 - 2024",DIV,"Pulaski County Public Schools",06,345
"2023 - 2024",DIV,"Pulaski County Public Schools",07,274
"2023 - 2024",DIV,"Pulaski County Public Schools",08,325
"2023 - 2024",DIV,"Pulaski County Public Schools",09,315
"2023 - 2024",DIV,"Pulaski County Public Schools",10,320
"2023 - 2024",DIV,"Pulaski County Public Schools",11,295
"2023 - 2024",DIV,"Pulaski County Public Schools",12,261
"2023 - 2024",DIV,"Radford City Public Schools",,3207
"2023 - 2024",DIV,"Radford City Public Schools",PK,71
"2023 - 2024",DIV,"Radford City Public Schools",KG,103
"2023 - 2024",DIV,"Radford City Public Schools",01,126
"2023 - 2024",DIV,"Radford City Public Schools",02,95
"2023 - 2024",DIV,"Radford City Public Schools",03,109
"2023 - 2024",DIV,"Radford City Public Schools",04,207
"2023 - 2024",DIV,"Radford City Public Schools",05,130
"2023 - 2024",DIV,"Radford City Public Schools",06,144
"2023 - 2024",DIV,"Radford City Public Schools",07,138
"2023 - 2024",DIV,"Radford City Public Schools",08,181
"2023 - 2024",DIV,"Radford City Public Schools",09,495
"2023 - 2024",DIV,"Radford City Public Schools",10,525
"2023 - 2024",DIV,"Radford City Public Schools",11,492
"2023 - 2024",DIV,"Radford City Public Schools",12,391
"2023 - 2024",DIV,"Rappahannock County Public Schools",,774
"2023 - 2024",DIV,"Rappahannock County Public Schools",PK,39
"2023 - 2024",DIV,"Rappahannock County Public Schools",KG,63
"2023 - 2024",DIV,"Rappahannock County Public Schools",01,43
"2023 - 2024",DIV,"Rappahannock County Public Schools",02,40
"2023 - 2024",DIV,"Rappahannock County Public Schools",03,62
"2023 - 2024",DIV,"Rappahannock County Public Schools",04,56
"2023 - 2024",DIV,"Rappahannock County Public Schools",05,50
"2023 - 2024",DIV,"Rappahannock County Public Schools",06,52
"2023 - 2024",DIV,"Rappahannock County Public Schools",07,61
"2023 - 2024",DIV,"Rappahannock County Public Schools",08,61
"2023 - 2024",DIV,"Rappahannock County Public Schools",09,64
"2023 - 2024",DIV,"Rappahannock County Public Schools",10,74
"2023 - 2024",DIV,"Rappahannock County Public Schools",11,49
"2023 - 2024",DIV,"Rappahannock County Public Schools",12,60
"2023 - 2024",DIV,"Richmond City Public Schools",,21259
"2023 - 2024",DIV,"Richmond City Public Schools",PK,1122
"2023 - 2024",DIV,"Richmond City Public Schools",KG,1721
"2023 - 2024",DIV,"Richmond City Public Schools",01,1816
"2023 - 2024",DIV,"Richmond City Public Schools",02,1757
"2023 - 2024",DIV,"Richmond City Public Schools",03,1632
"2023 - 2024",DIV,"Richmond City Public Schools",04,1594
"2023 - 2024",DIV,"Richmond City Public Schools",05,1603
"2023 - 2024",DIV,"Richmond City Public Schools",06,1570
"2023 - 2024",DIV,"Richmond City Public Schools",07,1411
"2023 - 2024",DIV,"Richmond City Public Schools",08,1430
"2023 - 2024",DIV,"Richmond City Public Schools",09,1507
"2023 - 2024",DIV,"Richmond City Public Schools",10,1474
"2023 - 2024",DIV,"Richmond City Public Schools",11,1380
"2023 - 2024",DIV,"Richmond City Public Schools",12,1242
"2023 - 2024",DIV,"Richmond County Public Schools",,1374
"2023 - 2024",DIV,"Richmond County Public Schools",PK,42
"2023 - 2024",DIV,"Richmond County Public Schools",KG,78
"2023 - 2024",DIV,"Richmond County Public Schools",01,102
"2023 - 2024",DIV,"Richmond County Public Schools",02,107
"2023 - 2024",DIV,"Richmond County Public Schools",03,100
"2023 - 2024",DIV,"Richmond County Public Schools",04,95
"2023 - 2024",DIV,"Richmond County Public Schools",05,95
"2023 - 2024",DIV,"Richmond County Public Schools",06,105
"2023 - 2024",DIV,"Richmond County Public Schools",07,106
"2023 - 2024",DIV,"Richmond County Public Schools",08,108
"2023 - 2024",DIV,"Richmond County Public Schools",09,103
"2023 - 2024",DIV,"Richmond County Public Schools",10,115
"2023 - 2024",DIV,"Richmond County Public Schools",11,114
"2023 - 2024",DIV,"Richmond County Public Schools",12,104
"2023 - 2024",DIV,"Roanoke City Public Schools",,13721
"2023 - 2024",DIV,"Roanoke City Public Schools",PG,12
"2023 - 2024",DIV,"Roanoke City Public Schools",PK,619
"2023 - 2024",DIV,"Roanoke City Public Schools",KG,1011
"2023 - 2024",DIV,"Roanoke City Public Schools",01,989
"2023 - 2024",DIV,"Roanoke City Public Schools",02,1066
"2023 - 2024",DIV,"Roanoke City Public Schools",03,1061
"2023 - 2024",DIV,"Roanoke City Public Schools",04,1053
"2023 - 2024",DIV,"Roanoke City Public Schools",05,1041
"2023 - 2024",DIV,"Roanoke City Public Schools",06,989
"2023 - 2024",DIV,"Roanoke City Public Schools",07,954
"2023 - 2024",DIV,"Roanoke City Public Schools",08,973
"2023 - 2024",DIV,"Roanoke City Public Schools",09,1176
"2023 - 2024",DIV,"Roanoke City Public Schools",10,1099
"2023 - 2024",DIV,"Roanoke City Public Schools",11,888
"2023 - 2024",DIV,"Roanoke City Public Schools",12,790
"2023 - 2024",DIV,"Roanoke County Public Schools",,13803
"2023 - 2024",DIV,"Roanoke County Public Schools",PK,324
"2023 - 2024",DIV,"Roanoke County Public Schools",KG,917
"2023 - 2024",DIV,"Roanoke County Public Schools",01,918
"2023 - 2024",DIV,"Roanoke County Public Schools",02,965
"2023 - 2024",DIV,"Roanoke County Public Schools",03,941
"2023 - 2024",DIV,"Roanoke County Public Schools",04,921
"2023 - 2024",DIV,"Roanoke County Public Schools",05,1043
"2023 - 2024",DIV,"Roanoke County Public Schools",06,1033
"2023 - 2024",DIV,"Roanoke County Public Schools",07,1037
"2023 - 2024",DIV,"Roanoke County Public Schools",08,1105
"2023 - 2024",DIV,"Roanoke County Public Schools",09,1199
"2023 - 2024",DIV,"Roanoke County Public Schools",10,1175
"2023 - 2024",DIV,"Roanoke County Public Schools",11,1148
"2023 - 2024",DIV,"Roanoke County Public Schools",12,1077
"2023 - 2024",DIV,"Rockbridge County Public Schools",,2496
"2023 - 2024",DIV,"Rockbridge County Public Schools",PK,82
"2023 - 2024",DIV,"Rockbridge County Public Schools",KG,144
"2023 - 2024",DIV,"Rockbridge County Public Schools",01,183
"2023 - 2024",DIV,"Rockbridge County Public Schools",02,165
"2023 - 2024",DIV,"Rockbridge County Public Schools",03,137
"2023 - 2024",DIV,"Rockbridge County Public Schools",04,176
"2023 - 2024",DIV,"Rockbridge County Public Schools",05,184
"2023 - 2024",DIV,"Rockbridge County Public Schools",06,157
"2023 - 2024",DIV,"Rockbridge County Public Schools",07,145
"2023 - 2024",DIV,"Rockbridge County Public Schools",08,157
"2023 - 2024",DIV,"Rockbridge County Public Schools",09,248
"2023 - 2024",DIV,"Rockbridge County Public Schools",10,254
"2023 - 2024",DIV,"Rockbridge County Public Schools",11,265
"2023 - 2024",DIV,"Rockbridge County Public Schools",12,199
"2023 - 2024",DIV,"Rockingham County Public Schools",,11570
"2023 - 2024",DIV,"Rockingham County Public Schools",PK,405
"2023 - 2024",DIV,"Rockingham County Public Schools",KG,794
"2023 - 2024",DIV,"Rockingham County Public Schools",01,855
"2023 - 2024",DIV,"Rockingham County Public Schools",02,843
"2023 - 2024",DIV,"Rockingham County Public Schools",03,788
"2023 - 2024",DIV,"Rockingham County Public Schools",04,846
"2023 - 2024",DIV,"Rockingham County Public Schools",05,834
"2023 - 2024",DIV,"Rockingham County Public Schools",06,816
"2023 - 2024",DIV,"Rockingham County Public Schools",07,857
"2023 - 2024",DIV,"Rockingham County Public Schools",08,869
"2023 - 2024",DIV,"Rockingham County Public Schools",09,954
"2023 - 2024",DIV,"Rockingham County Public Schools",10,908
"2023 - 2024",DIV,"Rockingham County Public Schools",11,922
"2023 - 2024",DIV,"Rockingham County Public Schools",12,879
"2023 - 2024",DIV,"Russell County Public Schools",,3454
"2023 - 2024",DIV,"Russell County Public Schools",PK,276
"2023 - 2024",DIV,"Russell County Public Schools",KG,246
"2023 - 2024",DIV,"Russell County Public Schools",01,251
"2023 - 2024",DIV,"Russell County Public Schools",02,226
"2023 - 2024",DIV,"Russell County Public Schools",03,225
"2023 - 2024",DIV,"Russell County Public Schools",04,205
"2023 - 2024",DIV,"Russell County Public Schools",05,239
"2023 - 2024",DIV,"Russell County Public Schools",06,232
"2023 - 2024",DIV,"Russell County Public Schools",07,224
"2023 - 2024",DIV,"Russell County Public Schools",08,259
"2023 - 2024",DIV,"Russell County Public Schools",09,255
"2023 - 2024",DIV,"Russell County Public Schools",10,299
"2023 - 2024",DIV,"Russell County Public Schools",11,259
"2023 - 2024",DIV,"Russell County Public Schools",12,258
"2023 - 2024",DIV,"Salem City Public Schools",,4322
"2023 - 2024",DIV,"Salem City Public Schools",PG,4
"2023 - 2024",DIV,"Salem City Public Schools",PK,101
"2023 - 2024",DIV,"Salem City Public Schools",KG,318
"2023 - 2024",DIV,"Salem City Public Schools",01,308
"2023 - 2024",DIV,"Salem City Public Schools",02,323
"2023 - 2024",DIV,"Salem City Public Schools",03,372
"2023 - 2024",DIV,"Salem City Public Schools",04,328
"2023 - 2024",DIV,"Salem City Public Schools",05,312
"2023 - 2024",DIV,"Salem City Public Schools",06,348
"2023 - 2024",DIV,"Salem City Public Schools",07,319
"2023 - 2024",DIV,"Salem City Public Schools",08,340
"2023 - 2024",DIV,"Salem City Public Schools",09,352
"2023 - 2024",DIV,"Salem City Public Schools",10,309
"2023 - 2024",DIV,"Salem City Public Schools",11,306
"2023 - 2024",DIV,"Salem City Public Schools",12,282
"2023 - 2024",DIV,"Scott County Public Schools",,4274
"2023 - 2024",DIV,"Scott County Public Schools",PK,245
"2023 - 2024",DIV,"Scott County Public Schools",KG,246
"2023 - 2024",DIV,"Scott County Public Schools",01,264
"2023 - 2024",DIV,"Scott County Public Schools",02,237
"2023 - 2024",DIV,"Scott County Public Schools",03,247
"2023 - 2024",DIV,"Scott County Public Schools",04,229
"2023 - 2024",DIV,"Scott County Public Schools",05,240
"2023 - 2024",DIV,"Scott County Public Schools",06,317
"2023 - 2024",DIV,"Scott County Public Schools",07,408
"2023 - 2024",DIV,"Scott County Public Schools",08,482
"2023 - 2024",DIV,"Scott County Public Schools",09,438
"2023 - 2024",DIV,"Scott County Public Schools",10,380
"2023 - 2024",DIV,"Scott County Public Schools",11,298
"2023 - 2024",DIV,"Scott County Public Schools",12,243
"2023 - 2024",DIV,"Shenandoah County Public Schools",,5693
"2023 - 2024",DIV,"Shenandoah County Public Schools",PK,184
"2023 - 2024",DIV,"Shenandoah County Public Schools",KG,396
"2023 - 2024",DIV,"Shenandoah County Public Schools",01,378
"2023 - 2024",DIV,"Shenandoah County Public Schools",02,422
"2023 - 2024",DIV,"Shenandoah County Public Schools",03,379
"2023 - 2024",DIV,"Shenandoah County Public Schools",04,400
"2023 - 2024",DIV,"Shenandoah County Public Schools",05,429
"2023 - 2024",DIV,"Shenandoah County Public Schools",06,434
"2023 - 2024",DIV,"Shenandoah County Public Schools",07,413
"2023 - 2024",DIV,"Shenandoah County Public Schools",08,413
"2023 - 2024",DIV,"Shenandoah County Public Schools",09,471
"2023 - 2024",DIV,"Shenandoah County Public Schools",10,487
"2023 - 2024",DIV,"Shenandoah County Public Schools",11,462
"2023 - 2024",DIV,"Shenandoah County Public Schools",12,425
"2023 - 2024",DIV,"Smyth County Public Schools",,3894
"2023 - 2024",DIV,"Smyth County Public Schools",PK,151
"2023 - 2024",DIV,"Smyth County Public Schools",KG,281
"2023 - 2024",DIV,"Smyth County Public Schools",01,292
"2023 - 2024",DIV,"Smyth County Public Schools",02,272
"2023 - 2024",DIV,"Smyth County Public Schools",03,283
"2023 - 2024",DIV,"Smyth County Public Schools",04,264
"2023 - 2024",DIV,"Smyth County Public Schools",05,275
"2023 - 2024",DIV,"Smyth County Public Schools",06,274
"2023 - 2024",DIV,"Smyth County Public Schools",07,298
"2023 - 2024",DIV,"Smyth County Public Schools",08,276
"2023 - 2024",DIV,"Smyth County Public Schools",09,295
"2023 - 2024",DIV,"Smyth County Public Schools",10,308
"2023 - 2024",DIV,"Smyth County Public Schools",11,317
"2023 - 2024",DIV,"Smyth County Public Schools",12,308
"2023 - 2024",DIV,"Southampton County Public Schools",,2523
"2023 - 2024",DIV,"Southampton County Public Schools",PK,125
"2023 - 2024",DIV,"Southampton County Public Schools",KG,188
"2023 - 2024",DIV,"Southampton County Public Schools",01,166
"2023 - 2024",DIV,"Southampton County Public Schools",02,176
"2023 - 2024",DIV,"Southampton County Public Schools",03,195
"2023 - 2024",DIV,"Southampton County Public Schools",04,180
"2023 - 2024",DIV,"Southampton County Public Schools",05,209
"2023 - 2024",DIV,"Southampton County Public Schools",06,169
"2023 - 2024",DIV,"Southampton County Public Schools",07,183
"2023 - 2024",DIV,"Southampton County Public Schools",08,180
"2023 - 2024",DIV,"Southampton County Public Schools",09,173
"2023 - 2024",DIV,"Southampton County Public Schools",10,229
"2023 - 2024",DIV,"Southampton County Public Schools",11,210
"2023 - 2024",DIV,"Southampton County Public Schools",12,140
"2023 - 2024",DIV,"Spotsylvania County Public Schools",,24064
"2023 - 2024",DIV,"Spotsylvania County Public Schools",PK,472
"2023 - 2024",DIV,"Spotsylvania County Public Schools",KG,1648
"2023 - 2024",DIV,"Spotsylvania County Public Schools",01,1685
"2023 - 2024",DIV,"Spotsylvania County Public Schools",02,1771
"2023 - 2024",DIV,"Spotsylvania County Public Schools",03,1659
"2023 - 2024",DIV,"Spotsylvania County Public Schools",04,1763
"2023 - 2024",DIV,"Spotsylvania County Public Schools",05,1718
"2023 - 2024",DIV,"Spotsylvania County Public Schools",06,1806
"2023 - 2024",DIV,"Spotsylvania County Public Schools",07,1843
"2023 - 2024",DIV,"Spotsylvania County Public Schools",08,1826
"2023 - 2024",DIV,"Spotsylvania County Public Schools",09,1999
"2023 - 2024",DIV,"Spotsylvania County Public Schools",10,2095
"2023 - 2024",DIV,"Spotsylvania County Public Schools",11,1912
"2023 - 2024",DIV,"Spotsylvania County Public Schools",12,1867
"2023 - 2024",DIV,"Stafford County Public Schools",,31700
"2023 - 2024",DIV,"Stafford County Public Schools",PK,627
"2023 - 2024",DIV,"Stafford County Public Schools",KG,1988
"2023 - 2024",DIV,"Stafford County Public Schools",01,2050
"2023 - 2024",DIV,"Stafford County Public Schools",02,2344
"2023 - 2024",DIV,"Stafford County Public Schools",03,2261
"2023 - 2024",DIV,"Stafford County Public Schools",04,2252
"2023 - 2024",DIV,"Stafford County Public Schools",05,2261
"2023 - 2024",DIV,"Stafford County Public Schools",06,2377
"2023 - 2024",DIV,"Stafford County Public Schools",07,2386
"2023 - 2024",DIV,"Stafford County Public Schools",08,2430
"2023 - 2024",DIV,"Stafford County Public Schools",09,2837
"2023 - 2024",DIV,"Stafford County Public Schools",10,2743
"2023 - 2024",DIV,"Stafford County Public Schools",11,2542
"2023 - 2024",DIV,"Stafford County Public Schools",12,2602
"2023 - 2024",DIV,"Staunton City Public Schools",,2698
"2023 - 2024",DIV,"Staunton City Public Schools",PK,143
"2023 - 2024",DIV,"Staunton City Public Schools",KG,201
"2023 - 2024",DIV,"Staunton City Public Schools",01,185
"2023 - 2024",DIV,"Staunton City Public Schools",02,215
"2023 - 2024",DIV,"Staunton City Public Schools",03,177
"2023 - 2024",DIV,"Staunton City Public Schools",04,202
"2023 - 2024",DIV,"Staunton City Public Schools",05,196
"2023 - 2024",DIV,"Staunton City Public Schools",06,179
"2023 - 2024",DIV,"Staunton City Public Schools",07,223
"2023 - 2024",DIV,"Staunton City Public Schools",08,187
"2023 - 2024",DIV,"Staunton City Public Schools",09,190
"2023 - 2024",DIV,"Staunton City Public Schools",10,215
"2023 - 2024",DIV,"Staunton City Public Schools",11,175
"2023 - 2024",DIV,"Staunton City Public Schools",12,210
"2023 - 2024",DIV,"Suffolk City Public Schools",,14520
"2023 - 2024",DIV,"Suffolk City Public Schools",PK,537
"2023 - 2024",DIV,"Suffolk City Public Schools",KG,1027
"2023 - 2024",DIV,"Suffolk City Public Schools",01,1073
"2023 - 2024",DIV,"Suffolk City Public Schools",02,1121
"2023 - 2024",DIV,"Suffolk City Public Schools",03,1051
"2023 - 2024",DIV,"Suffolk City Public Schools",04,1063
"2023 - 2024",DIV,"Suffolk City Public Schools",05,1015
"2023 - 2024",DIV,"Suffolk City Public Schools",06,1070
"2023 - 2024",DIV,"Suffolk City Public Schools",07,1076
"2023 - 2024",DIV,"Suffolk City Public Schools",08,1073
"2023 - 2024",DIV,"Suffolk City Public Schools",09,1228
"2023 - 2024",DIV,"Suffolk City Public Schools",10,1178
"2023 - 2024",DIV,"Suffolk City Public Schools",11,1013
"2023 - 2024",DIV,"Suffolk City Public Schools",12,995
"2023 - 2024",DIV,"Surry County Public Schools",,694
"2023 - 2024",DIV,"Surry County Public Schools",PK,34
"2023 - 2024",DIV,"Surry County Public Schools",KG,57
"2023 - 2024",DIV,"Surry County Public Schools",01,48
"2023 - 2024",DIV,"Surry County Public Schools",02,48
"2023 - 2024",DIV,"Surry County Public Schools",03,46
"2023 - 2024",DIV,"Surry County Public Schools",04,50
"2023 - 2024",DIV,"Surry County Public Schools",05,50
"2023 - 2024",DIV,"Surry County Public Schools",06,59
"2023 - 2024",DIV,"Surry County Public Schools",07,43
"2023 - 2024",DIV,"Surry County Public Schools",08,56
"2023 - 2024",DIV,"Surry County Public Schools",09,52
"2023 - 2024",DIV,"Surry County Public Schools",10,44
"2023 - 2024",DIV,"Surry County Public Schools",11,55
"2023 - 2024",DIV,"Surry County Public Schools",12,52
"2023 - 2024",DIV,"Sussex County Public Schools",,994
"2023 - 2024",DIV,"Sussex County Public Schools",PK,38
"2023 - 2024",DIV,"Sussex County Public Schools",KG,63
"2023 - 2024",DIV,"Sussex County Public Schools",01,69
"2023 - 2024",DIV,"Sussex County Public Schools",02,67
"2023 - 2024",DIV,"Sussex County Public Schools",03,61
"2023 - 2024",DIV,"Sussex County Public Schools",04,63
"2023 - 2024",DIV,"Sussex County Public Schools",05,87
"2023 - 2024",DIV,"Sussex County Public Schools",06,69
"2023 - 2024",DIV,"Sussex County Public Schools",07,77
"2023 - 2024",DIV,"Sussex County Public Schools",08,79
"2023 - 2024",DIV,"Sussex County Public Schools",09,88
"2023 - 2024",DIV,"Sussex County Public Schools",10,83
"2023 - 2024",DIV,"Sussex County Public Schools",11,83
"2023 - 2024",DIV,"Sussex County Public Schools",12,67
"2023 - 2024",DIV,"Tazewell County Public Schools",,5307
"2023 - 2024",DIV,"Tazewell County Public Schools",PK,157
"2023 - 2024",DIV,"Tazewell County Public Schools",KG,368
"2023 - 2024",DIV,"Tazewell County Public Schools",01,420
"2023 - 2024",DIV,"Tazewell County Public Schools",02,411
"2023 - 2024",DIV,"Tazewell County Public Schools",03,390
"2023 - 2024",DIV,"Tazewell County Public Schools",04,380
"2023 - 2024",DIV,"Tazewell County Public Schools",05,363
"2023 - 2024",DIV,"Tazewell County Public Schools",06,382
"2023 - 2024",DIV,"Tazewell County Public Schools",07,397
"2023 - 2024",DIV,"Tazewell County Public Schools",08,395
"2023 - 2024",DIV,"Tazewell County Public Schools",09,442
"2023 - 2024",DIV,"Tazewell County Public Schools",10,421
"2023 - 2024",DIV,"Tazewell County Public Schools",11,378
"2023 - 2024",DIV,"Tazewell County Public Schools",12,403
"2023 - 2024",DIV,"Virginia Beach City Public Schools",,65078
"2023 - 2024",DIV,"Virginia Beach City Public Schools",PK,1506
"2023 - 2024",DIV,"Virginia Beach City Public Schools",KG,4476
"2023 - 2024",DIV,"Virginia Beach City Public Schools",01,4759
"2023 - 2024",DIV,"Virginia Beach City Public Schools",02,4939
"2023 - 2024",DIV,"Virginia Beach City Public Schools",03,4726
"2023 - 2024",DIV,"Virginia Beach City Public Schools",04,4906
"2023 - 2024",DIV,"Virginia Beach City Public Schools",05,4789
"2023 - 2024",DIV,"Virginia Beach City Public Schools",06,4799
"2023 - 2024",DIV,"Virginia Beach City Public Schools",07,4769
"2023 - 2024",DIV,"Virginia Beach City Public Schools",08,4921
"2023 - 2024",DIV,"Virginia Beach City Public Schools",09,5333
"2023 - 2024",DIV,"Virginia Beach City Public Schools",10,5317
"2023 - 2024",DIV,"Virginia Beach City Public Schools",11,4872
"2023 - 2024",DIV,"Virginia Beach City Public Schools",12,4966
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",,57
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",PK,2
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",04,1
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",05,4
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",06,7
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",07,5
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",08,4
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",09,3
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",10,12
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",11,5
"2023 - 2024",DIV,"Virginia School for the Deaf and Blind-Staunton",12,14
"2023 - 2024",DIV,"Warren County Public Schools",,5136
"2023 - 2024",DIV,"Warren County Public Schools",PK,134
"2023 - 2024",DIV,"Warren County Public Schools",KG,365
"2023 - 2024",DIV,"Warren County Public Schools",01,352
"2023 - 2024",DIV,"Warren County Public Schools",02,369
"2023 - 2024",DIV,"Warren County Public Schools",03,356
"2023 - 2024",DIV,"Warren County Public Schools",04,377
"2023 - 2024",DIV,"Warren County Public Schools",05,374
"2023 - 2024",DIV,"Warren County Public Schools",06,366
"2023 - 2024",DIV,"Warren County Public Schools",07,377
"2023 - 2024",DIV,"Warren County Public Schools",08,366
"2023 - 2024",DIV,"Warren County Public Schools",09,443
"2023 - 2024",DIV,"Warren County Public Schools",10,437
"2023 - 2024",DIV,"Warren County Public Schools",11,415
"2023 - 2024",DIV,"Warren County Public Schools",12,405
"2023 - 2024",DIV,"Washington County Public Schools",,6713
"2023 - 2024",DIV,"Washington County Public Schools",PK,250
"2023 - 2024",DIV,"Washington County Public Schools",KG,422
"2023 - 2024",DIV,"Washington County Public Schools",01,470
"2023 - 2024",DIV,"Washington County Public Schools",02,497
"2023 - 2024",DIV,"Washington County Public Schools",03,472
