Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Bristol City Public Schools",11,151
"2023 - 2024",DIV,"Bristol City Public Schools",12,140
"2023 - 2024",DIV,"Brunswick County Public Schools",,1395
"2023 - 2024",DIV,"Brunswick County Public Schools",PK,44
"2023 - 2024",DIV,"Brunswick County Public Schools",KG,123
"2023 - 2024",DIV,"Brunswick County Public Schools",01,99
"2023 - 2024",DIV,"Brunswick County Public Schools",02,125
"2023 - 2024",DIV,"Brunswick County Public Schools",03,100
"2023 - 2024",DIV,"Brunswick County Public Schools",04,100
"2023 - 2024",DIV,"Brunswick County Public Schools",05,87
"2023 - 2024",DIV,"Brunswick County Public Schools",06,104
"2023 - 2024",DIV,"Brunswick County Public Schools",07,103
"2023 - 2024",DIV,"Brunswick County Public Schools",08,88
"2023 - 2024",DIV,"Brunswick County Public Schools",09,107
"2023 - 2024",DIV,"Brunswick County Public Schools",10,115
"2023 - 2024",DIV,"Brunswick County Public Schools",11,99
"2023 - 2024",DIV,"Brunswick County Public Schools",12,101
"2023 - 2024",DIV,"Buchanan County Public Schools",,2378
"2023 - 2024",DIV,"Buchanan County Public Schools",PK,119
"2023 - 2024",DIV,"Buchanan County Public Schools",KG,170
"2023 - 2024",DIV,"Buchanan County Public Schools",01,166
"2023 - 2024",DIV,"Buchanan County Public Schools",02,152
"2023 - 2024",DIV,"Buchanan County Public Schools",03,156
"2023 - 2024",DIV,"Buchanan County Public Schools",04,146
"2023 - 2024",DIV,"Buchanan County Public Schools",05,170
"2023 - 2024",DIV,"Buchanan County Public Schools",06,174
"2023 - 2024",DIV,"Buchanan County Public Schools",07,170
"2023 - 2024",DIV,"Buchanan County Public Schools",08,192
"2023 - 2024",DIV,"Buchanan County Public Schools",09,200
"2023 - 2024",DIV,"Buchanan County Public Schools",10,198
"2023 - 2024",DIV,"Buchanan County Public Schools",11,168
"2023 - 2024",DIV,"Buchanan County Public Schools",12,197
"2023 - 2024",DIV,"Buckingham County Public Schools",,1966
"2023 - 2024",DIV,"Buckingham County Public Schools",PK,108
"2023 - 2024",DIV,"Buckingham County Public Schools",KG,118
"2023 - 2024",DIV,"Buckingham County Public Schools",01,118
"2023 - 2024",DIV,"Buckingham County Public Schools",02,115
"2023 - 2024",DIV,"Buckingham County Public Schools",03,124
"2023 - 2024",DIV,"Buckingham County Public Schools",04,127
"2023 - 2024",DIV,"Buckingham County Public Schools",05,141
"2023 - 2024",DIV,"Buckingham County Public Schools",06,143
"2023 - 2024",DIV,"Buckingham County Public Schools",07,130
"2023 - 2024",DIV,"Buckingham County Public Schools",08,157
"2023 - 2024",DIV,"Buckingham County Public Schools",09,191
"2023 - 2024",DIV,"Buckingham County Public Schools",10,187
"2023 - 2024",DIV,"Buckingham County Public Schools",11,164
"2023 - 2024",DIV,"Buckingham County Public Schools",12,143
"2023 - 2024",DIV,"Buena Vista City Public Schools",,856
"2023 - 2024",DIV,"Buena Vista City Public Schools",PK,46
"2023 - 2024",DIV,"Buena Vista City Public Schools",KG,63
"2023 - 2024",DIV,"Buena Vista City Public Schools",01,67
"2023 - 2024",DIV,"Buena Vista City Public Schools",02,53
"2023 - 2024",DIV,"Buena Vista City Public Schools",03,73
"2023 - 2024",DIV,"Buena Vista City Public Schools",04,59
"2023 - 2024",DIV,"Buena Vista City Public Schools",05,62
"2023 - 2024",DIV,"Buena Vista City Public Schools",06,66
"2023 - 2024",DIV,"Buena Vista City Public Schools",07,53
"2023 - 2024",DIV,"Buena Vista City Public Schools",08,67
"2023 - 2024",DIV,"Buena Vista City Public Schools",09,66
"2023 - 2024",DIV,"Buena Vista City Public Schools",10,73
"2023 - 2024",DIV,"Buena Vista City Public Schools",11,61
"2023 - 2024",DIV,"Buena Vista City Public Schools",12,47
"2023 - 2024",DIV,"Campbell County Public Schools",,7896
"2023 - 2024",DIV,"Campbell County Public Schools",PK,307
"2023 - 2024",DIV,"Campbell County Public Schools",KG,532
"2023 - 2024",DIV,"Campbell County Public Schools",01,584
"2023 - 2024",DIV,"Campbell County Public Schools",02,572
"2023 - 2024",DIV,"Campbell County Public Schools",03,574
"2023 - 2024",DIV,"Campbell County Public Schools",04,539
"2023 - 2024",DIV,"Campbell County Public Schools",05,574
"2023 - 2024",DIV,"Campbell County Public Schools",06,550
"2023 - 2024",DIV,"Campbell County Public Schools",07,579
"2023 - 2024",DIV,"Campbell County Public Schools",08,598
"2023 - 2024",DIV,"Campbell County Public Schools",09,572
"2023 - 2024",DIV,"Campbell County Public Schools",10,679
"2023 - 2024",DIV,"Campbell County Public Schools",11,641
"2023 - 2024",DIV,"Campbell County Public Schools",12,595
"2023 - 2024",DIV,"Caroline County Public Schools",,4564
"2023 - 2024",DIV,"Caroline County Public Schools",PK,244
"2023 - 2024",DIV,"Caroline County Public Schools",KG,347
"2023 - 2024",DIV,"Caroline County Public Schools",01,352
"2023 - 2024",DIV,"Caroline County Public Schools",02,342
"2023 - 2024",DIV,"Caroline County Public Schools",03,338
"2023 - 2024",DIV,"Caroline County Public Schools",04,323
