Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
2019,0500000US51683,Manassas city,Virginia,51,683,81493,3858
2019,0500000US51775,Salem city,Virginia,51,775,57165,3209
2019,0500000US51037,Charlotte County,Virginia,51,37,40573,3373
2019,0500000US51081,Greensville County,Virginia,51,81,50300,4195
2019,0500000US51093,Isle of Wight County,Virginia,51,93,73991,3862
2019,0500000US51620,Franklin city,Virginia,51,620,40417,8465
2019,0500000US51678,Lexington city,Virginia,51,678,42632,9155
2019,0500000US51089,Henry County,Virginia,51,89,37952,1900
2019,0500000US51101,King William County,Virginia,51,101,66987,6191
2019,0500000US51109,Louisa County,Virginia,51,109,60975,3917
2019,0500000US51147,Prince Edward County,Virginia,51,147,47202,5147
2019,0500000US51165,Rockingham County,Virginia,51,165,61864,1904
2019,0500000US51095,James City County,Virginia,51,95,87678,3010
2019,0500000US51167,Russell County,Virginia,51,167,39758,2056
2019,0500000US51173,Smyth County,Virginia,51,173,40932,2763
2019,0500000US51540,Charlottesville city,Virginia,51,540,59471,4106
2019,0500000US51031,Campbell County,Virginia,51,31,49664,2671
2019,0500000US51087,Henrico County,Virginia,51,87,70307,1281
2019,0500000US51099,King George County,Virginia,51,99,94274,4294
2019,0500000US51103,Lancaster County,Virginia,51,103,53711,9463
2019,0500000US51105,Lee County,Virginia,51,105,32888,3103
2019,0500000US51115,Mathews County,Virginia,51,115,64237,13799
2019,0500000US51119,Middlesex County,Virginia,51,119,57438,4008
2019,0500000US51149,Prince George County,Virginia,51,149,71912,3851
2019,0500000US51159,Richmond County,Virginia,51,159,49517,5449
2019,0500000US51169,Scott County,Virginia,51,169,39820,2257
2019,0500000US51177,Spotsylvania County,Virginia,51,177,88628,2299
2019,0500000US51011,Appomattox County,Virginia,51,11,58696,5827
2019,0500000US51067,Franklin County,Virginia,51,67,56254,3884
2019,0500000US51097,King and Queen County,Virginia,51,97,63982,7614
2019,0500000US51121,Montgomery County,Virginia,51,121,57977,2295
2019,0500000US51127,New Kent County,Virginia,51,127,87904,6962
2019,0500000US51049,Cumberland County,Virginia,51,49,47469,6180
2019,0500000US51051,Dickenson County,Virginia,51,51,29932,2883
2019,0500000US51083,Halifax County,Virginia,51,83,42669,2071
2019,0500000US51107,Loudoun County,Virginia,51,107,142299,2089
2019,0500000US51153,Prince William County,Virginia,51,153,107132,1725
2019,0500000US51175,Southampton County,Virginia,51,175,61348,6838
2019,0500000US51091,Highland County,Virginia,51,91,48587,4703
